0	2	0.001792	0.002259
1	2	0.001792	0.002259
2	2	0.001792	0.002259
3	2	0.001792	0.002259
4	2	0.001792	0.002259
5	2	0.001792	0.002259
6	2	0.001792	0.002259
7	2	0.001792	0.002259
8	2	0.001792	0.002259
9	2	0.001792	0.002259
10	2	0.001792	0.002259
0	3	5.00013	0.06204
0	3	0.00192	0.06204
0	6	0.000192	0.06204
0	5	0.00148	0.05742
0	7	0.000192	0.06204
0	3	0.001008	0.06204
0	3	0.00192	0.06204
0	6	0.000192	0.06204
0	5	0.00148	0.05742
0	7	0.000192	0.06204
0	3	0.001008	0.06204
0	3	0.00192	0.06204
0	6	0.000192	0.06204
0	5	0.00148	0.05742
0	7	0.000192	0.06204
